Date,Country,Status,AQI Value
29-06-2023,Brazil,Unhealthy for Sensitive Groups,122
29-06-2023,Brunei,Good,14
29-06-2023,Bulgaria,Good,20
29-06-2023,Burkina Faso,Unhealthy for Sensitive Groups,113
29-06-2023,Cambodia,Good,32
29-06-2023,Canada,Unhealthy for Sensitive Groups,136
29-06-2023,Cape Verde,Good,41
29-06-2023,Cayman Islands,Good,20
29-06-2023,Chile,Unhealthy,197
29-06-2023,China,Unhealthy for Sensitive Groups,126
29-06-2023,Colombia,Moderate,61
29-06-2023,Costa Rica,Good,9
29-06-2023,Croatia,Good,27
29-06-2023,Cyprus,Moderate,78
29-06-2023,Czech Republic,Good,50
29-06-2023,Denmark,Good,28
29-06-2023,Dominican Republic,Good,39
29-06-2023,Ecuador,Good,39
29-06-2023,El Salvador,Moderate,58
29-06-2023,Estonia,Good,39
29-06-2023,Ethiopia,Unhealthy,154
29-06-2023,Finland,Moderate,57
29-06-2023,France,Unhealthy for Sensitive Groups,145
29-06-2023,French Guiana,Good,13
29-06-2023,Gabon,Unhealthy,186
29-06-2023,Georgia,Moderate,60
29-06-2023,Germany,Moderate,67
29-06-2023,Ghana,Moderate,56
29-06-2023,Gibraltar,Moderate,56
29-06-2023,Greece,Moderate,53
29-06-2023,Grenada,Good,8
29-06-2023,Guadeloupe,Good,13
29-06-2023,Guam,Good,8
29-06-2023,Guatemala,Moderate,68
29-06-2023,Honduras,Good,22
29-06-2023,Hong Kong,Good,42
29-06-2023,Iceland,Good,15
29-06-2023,India,Unhealthy,161
29-06-2023,Indonesia,Moderate,80
29-06-2023,Iran,Unhealthy for Sensitive Groups,149
29-06-2023,Ireland,Good,15
29-06-2023,Israel,Moderate,77
29-06-2023,Italy,Moderate,70
29-06-2023,Ivory Coast,Good,25
29-06-2023,Japan,Moderate,92
29-06-2023,Jersey,Good,20
29-06-2023,Jordan,Good,30
29-06-2023,Kazakhstan,Unhealthy,182
29-06-2023,Kenya,Moderate,80
29-06-2023,Kosovo,Good,33
29-06-2023,Kuwait,Moderate,61
29-06-2023,Kyrgyzstan,Good,43
29-06-2023,Laos,Good,45
29-06-2023,Latvia,Good,22
29-06-2023,Lebanon,Unhealthy for Sensitive Groups,121
29-06-2023,Liberia,Good,35
29-06-2023,Liechtenstein,Good,33
29-06-2023,Lithuania,Good,40
29-06-2023,Luxembourg,Good,44
29-06-2023,Macao,Good,42
29-06-2023,Macedonia,Good,23
29-06-2023,Madagascar,Moderate,66
29-06-2023,Malaysia,Moderate,64
29-06-2023,Malta,Good,44
29-06-2023,Martinique,Good,49
29-06-2023,Mexico,Unhealthy for Sensitive Groups,107
29-06-2023,Moldova,Good,9
29-06-2023,Monaco,Moderate,66
29-06-2023,Mongolia,Good,32
29-06-2023,Montenegro,Good,32
29-06-2023,Myanmar,Moderate,52
